x-axis,IN,OUT
second,Volt,Volt
-185.00E-06,-515.31251E-03,-495.62501E-03
-184.00E-06,-515.31251E-03,-495.62501E-03
-183.00E-06,-515.31251E-03,-495.62501E-03
-182.00E-06,-515.31251E-03,-495.62501E-03
-181.00E-06,-514.92188E-03,-495.62501E-03
-180.00E-06,-515.70313E-03,-496.01563E-03
-179.00E-06,-514.92188E-03,-496.01563E-03
-178.00E-06,-515.31251E-03,-496.01563E-03
-177.00E-06,-515.31251E-03,-496.01563E-03
-176.00E-06,-515.31251E-03,-496.01563E-03
-175.00E-06,-514.92188E-03,-495.62501E-03
-174.00E-06,-515.31251E-03,-496.01563E-03
-173.00E-06,-515.31251E-03,-496.01563E-03
-172.00E-06,-514.92188E-03,-495.62501E-03
-171.00E-06,-515.31251E-03,-496.01563E-03
-170.00E-06,-515.31251E-03,-495.62501E-03
-169.00E-06,-514.92188E-03,-495.62501E-03
-168.00E-06,-515.31251E-03,-495.62501E-03
-167.00E-06,-515.31251E-03,-495.62501E-03
-166.00E-06,-515.31251E-03,-495.23438E-03
-165.00E-06,-515.31251E-03,-495.62501E-03
-164.00E-06,-515.31251E-03,-495.23438E-03
-163.00E-06,-514.92188E-03,-495.62501E-03
-162.00E-06,-515.31251E-03,-495.62501E-03
-161.00E-06,-515.31251E-03,-495.62501E-03
-160.00E-06,-515.31251E-03,-495.62501E-03
-159.00E-06,-515.31251E-03,-496.01563E-03
-158.00E-06,-515.31251E-03,-496.01563E-03
-157.00E-06,-515.31251E-03,-496.01563E-03
-156.00E-06,-515.31251E-03,-496.01563E-03
-155.00E-06,-514.92188E-03,-495.62501E-03
-154.00E-06,-514.92188E-03,-495.62501E-03
-153.00E-06,-515.31251E-03,-496.01563E-03
-152.00E-06,-514.92188E-03,-495.62501E-03
-151.00E-06,-514.92188E-03,-495.23438E-03
-150.00E-06,-514.92188E-03,-495.62501E-03
-149.00E-06,-514.92188E-03,-495.23438E-03
-148.00E-06,-515.31251E-03,-496.01563E-03
-147.00E-06,-515.31251E-03,-495.62501E-03
-146.00E-06,-514.92188E-03,-495.62501E-03
-145.00E-06,-515.31251E-03,-495.62501E-03
-144.00E-06,-515.31251E-03,-495.62501E-03
-143.00E-06,-515.31251E-03,-495.62501E-03
-142.00E-06,-514.92188E-03,-496.01563E-03
-141.00E-06,-515.31251E-03,-496.01563E-03
-140.00E-06,-515.31251E-03,-495.62501E-03
-139.00E-06,-514.92188E-03,-496.01563E-03
-138.00E-06,-515.31251E-03,-496.01563E-03
-137.00E-06,-515.31251E-03,-496.01563E-03
-136.00E-06,-514.92188E-03,-496.01563E-03
-135.00E-06,-515.31251E-03,-495.62501E-03
-134.00E-06,-514.92188E-03,-496.01563E-03
-133.00E-06,-515.31251E-03,-495.62501E-03
-132.00E-06,-515.31251E-03,-495.62501E-03
-131.00E-06,-515.31251E-03,-496.01563E-03
-130.00E-06,-515.31251E-03,-496.01563E-03
-129.00E-06,-514.92188E-03,-495.62501E-03
-128.00E-06,-514.92188E-03,-495.62501E-03
-127.00E-06,-514.92188E-03,-496.01563E-03
-126.00E-06,-514.92188E-03,-495.62501E-03
-125.00E-06,-515.31251E-03,-496.01563E-03
-124.00E-06,-515.31251E-03,-496.01563E-03
-123.00E-06,-515.31251E-03,-495.62501E-03
-122.00E-06,-514.92188E-03,-496.01563E-03
-121.00E-06,-514.92188E-03,-496.01563E-03
-120.00E-06,-514.92188E-03,-495.62501E-03
-119.00E-06,-514.92188E-03,-495.62501E-03
-118.00E-06,-514.92188E-03,-495.62501E-03
-117.00E-06,-514.92188E-03,-495.62501E-03
-116.00E-06,-514.92188E-03,-495.62501E-03
-115.00E-06,-514.92188E-03,-495.62501E-03
-114.00E-06,-515.31251E-03,-495.62501E-03
-113.00E-06,-515.31251E-03,-496.01563E-03
-112.00E-06,-514.92188E-03,-495.62501E-03
-111.00E-06,-514.92188E-03,-495.62501E-03
-110.00E-06,-515.31251E-03,-495.62501E-03
-109.00E-06,-515.31251E-03,-496.01563E-03
-108.00E-06,-515.31251E-03,-496.01563E-03
-107.00E-06,-515.31251E-03,-495.62501E-03
-106.00E-06,-515.31251E-03,-495.62501E-03
-105.00E-06,-515.31251E-03,-496.01563E-03
-104.00E-06,-514.92188E-03,-495.62501E-03
-103.00E-06,-514.92188E-03,-495.62501E-03
-102.00E-06,-514.92188E-03,-496.01563E-03
-101.00E-06,-514.92188E-03,-495.62501E-03
-100.00E-06,-515.31251E-03,-496.01563E-03
-99.00E-06,-515.31251E-03,-496.01563E-03
-98.00E-06,-514.92188E-03,-496.01563E-03
-97.00E-06,-514.92188E-03,-495.62501E-03
-96.00E-06,-514.92188E-03,-495.23438E-03
-95.00E-06,-515.31251E-03,-495.62501E-03
-94.00E-06,-514.92188E-03,-495.62501E-03
-93.00E-06,-515.31251E-03,-495.62501E-03
-92.00E-06,-515.31251E-03,-495.62501E-03
-91.00E-06,-514.92188E-03,-496.01563E-03
-90.00E-06,-515.31251E-03,-495.62501E-03
-89.00E-06,-514.92188E-03,-495.62501E-03
-88.00E-06,-514.92188E-03,-496.01563E-03
-87.00E-06,-514.92188E-03,-495.62501E-03
-86.00E-06,-515.31251E-03,-495.62501E-03
-85.00E-06,-514.92188E-03,-495.62501E-03
-84.00E-06,-515.31251E-03,-495.62501E-03
-83.00E-06,-514.92188E-03,-496.01563E-03
-82.00E-06,-514.92188E-03,-495.62501E-03
-81.00E-06,-514.92188E-03,-495.62501E-03
-80.00E-06,-514.92188E-03,-495.62501E-03
-79.00E-06,-514.92188E-03,-495.62501E-03
-78.00E-06,-514.92188E-03,-495.62501E-03
-77.00E-06,-514.92188E-03,-496.01563E-03
-76.00E-06,-514.92188E-03,-495.62501E-03
-75.00E-06,-514.92188E-03,-495.62501E-03
-74.00E-06,-515.31251E-03,-495.62501E-03
-73.00E-06,-515.31251E-03,-496.01563E-03
-72.00E-06,-515.31251E-03,-496.01563E-03
-71.00E-06,-515.31251E-03,-496.01563E-03
-70.00E-06,-514.92188E-03,-495.62501E-03
-69.00E-06,-514.92188E-03,-496.01563E-03
-68.00E-06,-514.92188E-03,-496.01563E-03
-67.00E-06,-514.92188E-03,-496.01563E-03
-66.00E-06,-514.92188E-03,-495.23438E-03
-65.00E-06,-514.92188E-03,-495.62501E-03
-64.00E-06,-514.92188E-03,-495.62501E-03
-63.00E-06,-515.31251E-03,-495.62501E-03
-62.00E-06,-515.31251E-03,-496.01563E-03
-61.00E-06,-515.31251E-03,-495.62501E-03
-60.00E-06,-514.92188E-03,-495.62501E-03
-59.00E-06,-514.92188E-03,-496.01563E-03
-58.00E-06,-515.31251E-03,-495.62501E-03
-57.00E-06,-515.31251E-03,-496.01563E-03
-56.00E-06,-514.92188E-03,-495.62501E-03
-55.00E-06,-514.92188E-03,-496.01563E-03
-54.00E-06,-515.31251E-03,-496.01563E-03
-53.00E-06,-515.31251E-03,-495.62501E-03
-52.00E-06,-514.92188E-03,-495.62501E-03
-51.00E-06,-514.92188E-03,-495.62501E-03
-50.00E-06,-514.92188E-03,-495.62501E-03
-49.00E-06,-514.92188E-03,-495.62501E-03
-48.00E-06,-515.31251E-03,-496.01563E-03
-47.00E-06,-515.31251E-03,-495.62501E-03
-46.00E-06,-514.92188E-03,-495.62501E-03
-45.00E-06,-515.31251E-03,-496.01563E-03
-44.00E-06,-514.92188E-03,-495.62501E-03
-43.00E-06,-514.92188E-03,-495.62501E-03
-42.00E-06,-515.31251E-03,-495.62501E-03
-41.00E-06,-514.92188E-03,-496.01563E-03
-40.00E-06,-515.31251E-03,-496.01563E-03
-39.00E-06,-515.31251E-03,-496.01563E-03
-38.00E-06,-515.31251E-03,-495.62501E-03
-37.00E-06,-514.92188E-03,-496.01563E-03
-36.00E-06,-515.31251E-03,-495.62501E-03
-35.00E-06,-514.92188E-03,-496.01563E-03
-34.00E-06,-514.92188E-03,-495.62501E-03
-33.00E-06,-515.31251E-03,-495.62501E-03
-32.00E-06,-515.31251E-03,-495.62501E-03
-31.00E-06,-514.92188E-03,-495.62501E-03
-30.00E-06,-514.92188E-03,-495.62501E-03
-29.00E-06,-514.92188E-03,-495.62501E-03
-28.00E-06,-514.92188E-03,-495.62501E-03
-27.00E-06,-514.92188E-03,-495.62501E-03
-26.00E-06,-515.31251E-03,-495.62501E-03
-25.00E-06,-514.92188E-03,-495.62501E-03
-24.00E-06,-515.31251E-03,-495.62501E-03
-23.00E-06,-514.92188E-03,-496.01563E-03
-22.00E-06,-514.92188E-03,-496.01563E-03
-21.00E-06,-514.92188E-03,-496.01563E-03
-20.00E-06,-515.31251E-03,-496.01563E-03
-19.00E-06,-514.92188E-03,-495.62501E-03
-18.00E-06,-515.31251E-03,-495.62501E-03
-17.00E-06,-514.92188E-03,-495.62501E-03
-16.00E-06,-514.92188E-03,-496.01563E-03
-15.00E-06,-514.92188E-03,-495.62501E-03
-14.00E-06,-514.92188E-03,-495.62501E-03
-13.00E-06,-514.92188E-03,-495.62501E-03
-12.00E-06,-514.92188E-03,-495.62501E-03
-11.00E-06,-514.92188E-03,-495.62501E-03
-10.00E-06,-515.31251E-03,-495.23438E-03
-9.00E-06,-515.31251E-03,-496.01563E-03
-8.00E-06,-514.92188E-03,-495.62501E-03
-7.00E-06,-514.92188E-03,-496.01563E-03
-6.00E-06,-514.92188E-03,-495.62501E-03
-5.00E-06,-515.31251E-03,-495.62501E-03
-4.00E-06,-514.92188E-03,-496.01563E-03
-3.00E-06,-514.92188E-03,-495.62501E-03
-2.00E-06,-514.92188E-03,-496.01563E-03
-1.00E-06,-515.31251E-03,-496.01563E-03
-0.0E+00,+351.09376E-03,+343.82813E-03
+1.00E-06,+412.42188E-03,+337.18751E-03
+2.00E-06,+415.93751E-03,+289.14063E-03
+3.00E-06,+418.28126E-03,+243.82813E-03
+4.00E-06,+421.40626E-03,+200.85938E-03
+5.00E-06,+423.35938E-03,+159.06250E-03
+6.00E-06,+425.70313E-03,+120.39063E-03
+7.00E-06,+427.26563E-03,+85.23438E-03
+8.00E-06,+429.21876E-03,+51.64063E-03
+9.00E-06,+431.17188E-03,+20.00000E-03
+10.00E-06,+433.12501E-03,-8.90625E-03
+11.00E-06,+434.29688E-03,-34.68750E-03
+12.00E-06,+435.85938E-03,-60.07813E-03
+13.00E-06,+437.42188E-03,-84.29688E-03
+14.00E-06,+438.59376E-03,-107.73438E-03
+15.00E-06,+439.76563E-03,-129.21875E-03
+16.00E-06,+441.32813E-03,-148.75000E-03
+17.00E-06,+442.10938E-03,-165.54688E-03
+18.00E-06,+443.28126E-03,-183.51563E-03
+19.00E-06,+444.45313E-03,-199.53125E-03
+20.00E-06,+445.23438E-03,-214.37500E-03
+21.00E-06,+446.40626E-03,-229.21875E-03
+22.00E-06,+447.18751E-03,-242.50000E-03
+23.00E-06,+447.96876E-03,-254.60938E-03
+24.00E-06,+448.75001E-03,-265.93750E-03
+25.00E-06,+449.53126E-03,-276.09375E-03
+26.00E-06,+450.31251E-03,-286.25000E-03
+27.00E-06,+451.09376E-03,-294.84375E-03
+28.00E-06,+451.87501E-03,-302.65625E-03
+29.00E-06,+452.26563E-03,-309.68750E-03
+30.00E-06,+452.65626E-03,-317.10938E-03
+31.00E-06,+453.43751E-03,-323.35938E-03
+32.00E-06,+453.82813E-03,-328.82813E-03
+33.00E-06,+454.21876E-03,-334.68750E-03
+34.00E-06,+455.00001E-03,-338.98438E-03
+35.00E-06,+455.39063E-03,-342.89063E-03
+36.00E-06,+456.17188E-03,-346.40625E-03
+37.00E-06,+456.17188E-03,-349.53126E-03
+38.00E-06,+456.56251E-03,-352.26563E-03
+39.00E-06,+456.95313E-03,-355.00001E-03
+40.00E-06,+457.73438E-03,-356.95313E-03
+41.00E-06,+457.73438E-03,-359.29688E-03
+42.00E-06,+458.51563E-03,-360.46876E-03
+43.00E-06,+458.12501E-03,-362.03126E-03
+44.00E-06,+458.51563E-03,-363.20313E-03
+45.00E-06,+458.90626E-03,-363.98438E-03
+46.00E-06,+459.29688E-03,-364.76563E-03
+47.00E-06,+459.29688E-03,-365.54688E-03
+48.00E-06,+459.68751E-03,-365.54688E-03
+49.00E-06,+460.07813E-03,-365.15626E-03
+50.00E-06,+460.07813E-03,-365.15626E-03
+51.00E-06,+460.46876E-03,-364.76563E-03
+52.00E-06,+460.46876E-03,-363.98438E-03
+53.00E-06,+460.85938E-03,-363.20313E-03
+54.00E-06,+461.25001E-03,-362.42188E-03
+55.00E-06,+461.25001E-03,-360.85938E-03
+56.00E-06,+461.64063E-03,-360.07813E-03
+57.00E-06,+461.64063E-03,-358.90626E-03
+58.00E-06,+462.03126E-03,-357.34376E-03
+59.00E-06,+462.42188E-03,-356.17188E-03
+60.00E-06,+462.03126E-03,-354.60938E-03
+61.00E-06,+462.42188E-03,-352.65626E-03
+62.00E-06,+462.42188E-03,-351.09376E-03
+63.00E-06,+462.42188E-03,-349.53126E-03
+64.00E-06,+462.81251E-03,-347.57813E-03
+65.00E-06,+462.81251E-03,-346.01563E-03
+66.00E-06,+462.81251E-03,-343.67188E-03
+67.00E-06,+463.20313E-03,-341.71875E-03
+68.00E-06,+463.20313E-03,-339.37500E-03
+69.00E-06,+463.20313E-03,-337.42188E-03
+70.00E-06,+463.59376E-03,-334.68750E-03
+71.00E-06,+463.59376E-03,-332.34375E-03
+72.00E-06,+463.59376E-03,-330.00000E-03
+73.00E-06,+463.98438E-03,-327.26563E-03
+74.00E-06,+463.98438E-03,-324.53125E-03
+75.00E-06,+463.98438E-03,-322.18750E-03
+76.00E-06,+463.98438E-03,-319.84375E-03
+77.00E-06,+464.37501E-03,-317.10938E-03
+78.00E-06,+464.37501E-03,-313.98438E-03
+79.00E-06,+463.98438E-03,-311.25000E-03
+80.00E-06,+463.98438E-03,-308.90625E-03
+81.00E-06,+464.37501E-03,-305.78125E-03
+82.00E-06,+464.76563E-03,-303.43750E-03
+83.00E-06,+464.76563E-03,-301.09375E-03
+84.00E-06,+464.76563E-03,-298.75000E-03
+85.00E-06,+464.76563E-03,-295.62500E-03
+86.00E-06,+464.76563E-03,-292.50000E-03
+87.00E-06,+465.15626E-03,-289.76563E-03
+88.00E-06,+465.15626E-03,-286.64063E-03
+89.00E-06,+464.76563E-03,-283.51563E-03
+90.00E-06,+465.15626E-03,-280.39063E-03
+91.00E-06,+465.15626E-03,-277.65625E-03
+92.00E-06,+465.54688E-03,-274.92188E-03
+93.00E-06,+465.54688E-03,-271.79688E-03
+94.00E-06,+465.54688E-03,-269.45313E-03
+95.00E-06,+465.54688E-03,-266.32813E-03
+96.00E-06,+465.15626E-03,-263.98438E-03
+97.00E-06,+465.54688E-03,-260.85938E-03
+98.00E-06,+465.54688E-03,-257.73438E-03
+99.00E-06,+465.15626E-03,-255.00000E-03
+100.00E-06,+465.54688E-03,-251.87500E-03
+101.00E-06,+465.93751E-03,-248.75000E-03
+102.00E-06,+465.54688E-03,-246.40625E-03
+103.00E-06,+465.93751E-03,-242.89063E-03
+104.00E-06,+465.93751E-03,-239.76563E-03
+105.00E-06,+465.93751E-03,-237.03125E-03
+106.00E-06,+466.32813E-03,-233.90625E-03
+107.00E-06,+466.32813E-03,-231.17188E-03
+108.00E-06,+466.32813E-03,-228.04688E-03
+109.00E-06,+465.93751E-03,-225.31250E-03
+110.00E-06,+466.32813E-03,-221.79688E-03
+111.00E-06,+466.32813E-03,-218.28125E-03
+112.00E-06,+466.32813E-03,-215.93750E-03
+113.00E-06,+466.32813E-03,-212.81250E-03
+114.00E-06,+466.32813E-03,-210.07813E-03
+115.00E-06,+466.32813E-03,-207.34375E-03
+116.00E-06,+466.32813E-03,-204.60938E-03
+117.00E-06,+466.32813E-03,-201.87500E-03
+118.00E-06,+466.32813E-03,-199.14063E-03
+119.00E-06,+466.71876E-03,-196.40625E-03
+120.00E-06,+466.71876E-03,-193.67188E-03
+121.00E-06,+466.71876E-03,-190.93750E-03
+122.00E-06,+466.32813E-03,-187.81250E-03
+123.00E-06,+466.71876E-03,-184.68750E-03
+124.00E-06,+466.71876E-03,-181.95313E-03
+125.00E-06,+467.10938E-03,-178.82813E-03
+126.00E-06,+466.71876E-03,-176.09375E-03
+127.00E-06,+467.10938E-03,-172.96875E-03
+128.00E-06,+467.10938E-03,-170.23438E-03
+129.00E-06,+467.10938E-03,-167.50000E-03
+130.00E-06,+467.10938E-03,-164.76563E-03
+131.00E-06,+467.10938E-03,-162.03125E-03
+132.00E-06,+466.71876E-03,-160.07813E-03
+133.00E-06,+467.10938E-03,-157.34375E-03
+134.00E-06,+467.10938E-03,-155.00000E-03
+135.00E-06,+467.50001E-03,-152.65625E-03
+136.00E-06,+467.50001E-03,-150.31250E-03
+137.00E-06,+467.10938E-03,-147.57813E-03
+138.00E-06,+467.50001E-03,-145.23438E-03
+139.00E-06,+467.10938E-03,-142.50000E-03
+140.00E-06,+467.50001E-03,-140.15625E-03
+141.00E-06,+467.50001E-03,-137.42188E-03
+142.00E-06,+467.50001E-03,-134.29688E-03
+143.00E-06,+467.50001E-03,-131.56250E-03
+144.00E-06,+467.50001E-03,-129.21875E-03
+145.00E-06,+467.50001E-03,-126.09375E-03
+146.00E-06,+467.50001E-03,-123.75000E-03
+147.00E-06,+467.50001E-03,-120.62500E-03
+148.00E-06,+467.50001E-03,-118.67188E-03
+149.00E-06,+467.50001E-03,-115.93750E-03
+150.00E-06,+467.50001E-03,-113.59375E-03
+151.00E-06,+467.50001E-03,-110.85938E-03
+152.00E-06,+467.89063E-03,-108.90625E-03
+153.00E-06,+467.89063E-03,-106.17188E-03
+154.00E-06,+467.89063E-03,-103.82813E-03
+155.00E-06,+467.89063E-03,-101.48438E-03
+156.00E-06,+467.89063E-03,-99.14063E-03
+157.00E-06,+467.89063E-03,-96.40625E-03
+158.00E-06,+468.28126E-03,-93.67188E-03
+159.00E-06,+468.28126E-03,-90.93750E-03
+160.00E-06,+468.28126E-03,-88.20313E-03
+161.00E-06,+468.28126E-03,-85.85938E-03
+162.00E-06,+468.28126E-03,-83.51563E-03
+163.00E-06,+468.28126E-03,-80.78125E-03
+164.00E-06,+467.89063E-03,-78.82813E-03
+165.00E-06,+467.89063E-03,-76.09375E-03
+166.00E-06,+468.28126E-03,-73.75000E-03
+167.00E-06,+468.28126E-03,-71.01563E-03
+168.00E-06,+468.28126E-03,-68.67188E-03
+169.00E-06,+468.28126E-03,-66.71875E-03
+170.00E-06,+468.28126E-03,-63.98438E-03
+171.00E-06,+468.67188E-03,-61.25000E-03
+172.00E-06,+468.28126E-03,-59.68750E-03
+173.00E-06,+468.28126E-03,-57.34375E-03
+174.00E-06,+468.67188E-03,-55.00000E-03
+175.00E-06,+468.28126E-03,-52.65625E-03
+176.00E-06,+468.67188E-03,-50.70313E-03
+177.00E-06,+468.67188E-03,-48.75000E-03
+178.00E-06,+468.67188E-03,-46.40625E-03
+179.00E-06,+468.67188E-03,-44.06250E-03
+180.00E-06,+468.28126E-03,-42.10938E-03
+181.00E-06,+469.06251E-03,-39.76563E-03
+182.00E-06,+468.67188E-03,-37.42188E-03
+183.00E-06,+468.67188E-03,-35.46875E-03
+184.00E-06,+468.67188E-03,-33.90625E-03
+185.00E-06,+468.67188E-03,-31.17188E-03
+186.00E-06,+468.67188E-03,-28.82813E-03
+187.00E-06,+468.67188E-03,-26.87500E-03
+188.00E-06,+468.67188E-03,-24.53125E-03
+189.00E-06,+468.67188E-03,-22.57813E-03
+190.00E-06,+468.67188E-03,-20.62500E-03
+191.00E-06,+469.06251E-03,-19.06250E-03
+192.00E-06,+469.06251E-03,-17.10938E-03
+193.00E-06,+469.06251E-03,-14.76563E-03
+194.00E-06,+469.06251E-03,-13.20313E-03
+195.00E-06,+469.06251E-03,-11.25000E-03
+196.00E-06,+469.06251E-03,-9.29687E-03
+197.00E-06,+469.06251E-03,-7.34375E-03
+198.00E-06,+469.06251E-03,-5.78125E-03
+199.00E-06,+469.06251E-03,-3.82812E-03
+200.00E-06,+469.06251E-03,-1.87500E-03
+201.00E-06,+469.06251E-03,+78.13E-06
+202.00E-06,+469.45313E-03,+2.03125E-03
+203.00E-06,+469.45313E-03,+3.98438E-03
+204.00E-06,+469.45313E-03,+6.32813E-03
+205.00E-06,+469.45313E-03,+8.28125E-03
+206.00E-06,+469.45313E-03,+10.23438E-03
+207.00E-06,+469.06251E-03,+12.18750E-03
+208.00E-06,+469.45313E-03,+14.53125E-03
+209.00E-06,+469.45313E-03,+16.48438E-03
+210.00E-06,+469.45313E-03,+18.82813E-03
+211.00E-06,+469.84376E-03,+20.39063E-03
+212.00E-06,+469.45313E-03,+22.73438E-03
+213.00E-06,+469.45313E-03,+24.68750E-03
+214.00E-06,+469.45313E-03,+27.03125E-03
+215.00E-06,+469.45313E-03,+28.98438E-03
+216.00E-06,+469.45313E-03,+30.54688E-03
+217.00E-06,+469.45313E-03,+32.50000E-03
+218.00E-06,+469.45313E-03,+34.45313E-03
+219.00E-06,+469.84376E-03,+36.40625E-03
+220.00E-06,+469.45313E-03,+38.75000E-03
+221.00E-06,+469.84376E-03,+40.31250E-03
+222.00E-06,+469.84376E-03,+42.26563E-03
+223.00E-06,+470.23438E-03,+44.21875E-03
+224.00E-06,+469.84376E-03,+45.78125E-03
+225.00E-06,+469.84376E-03,+47.73438E-03
+226.00E-06,+469.84376E-03,+49.68750E-03
+227.00E-06,+469.84376E-03,+51.64063E-03
+228.00E-06,+469.84376E-03,+53.20313E-03
+229.00E-06,+470.23438E-03,+55.54688E-03
+230.00E-06,+469.84376E-03,+57.10938E-03
+231.00E-06,+469.84376E-03,+59.06250E-03
+232.00E-06,+469.84376E-03,+61.01563E-03
+233.00E-06,+469.84376E-03,+62.57813E-03
+234.00E-06,+469.84376E-03,+64.53125E-03
+235.00E-06,+470.23438E-03,+66.48438E-03
+236.00E-06,+469.84376E-03,+68.04688E-03
+237.00E-06,+469.84376E-03,+69.60938E-03
+238.00E-06,+470.23438E-03,+71.56250E-03
+239.00E-06,+469.84376E-03,+73.51563E-03
+240.00E-06,+469.84376E-03,+75.07813E-03
+241.00E-06,+470.23438E-03,+77.03125E-03
+242.00E-06,+470.23438E-03,+78.59375E-03
+243.00E-06,+470.23438E-03,+80.54688E-03
+244.00E-06,+470.23438E-03,+81.71875E-03
+245.00E-06,+470.23438E-03,+83.28125E-03
+246.00E-06,+470.23438E-03,+84.84375E-03
+247.00E-06,+470.62501E-03,+86.79688E-03
+248.00E-06,+470.23438E-03,+88.35938E-03
+249.00E-06,+470.23438E-03,+89.92188E-03
+250.00E-06,+470.23438E-03,+91.48438E-03
+251.00E-06,+470.23438E-03,+93.04688E-03
+252.00E-06,+470.23438E-03,+94.60938E-03
+253.00E-06,+470.23438E-03,+95.78125E-03
+254.00E-06,+470.62501E-03,+97.34375E-03
+255.00E-06,+470.62501E-03,+98.90625E-03
+256.00E-06,+470.23438E-03,+100.46875E-03
+257.00E-06,+470.62501E-03,+102.42188E-03
+258.00E-06,+470.23438E-03,+103.98438E-03
+259.00E-06,+470.62501E-03,+105.15625E-03
+260.00E-06,+470.62501E-03,+107.10938E-03
+261.00E-06,+470.62501E-03,+108.67188E-03
+262.00E-06,+470.23438E-03,+110.62500E-03
+263.00E-06,+470.62501E-03,+112.18750E-03
+264.00E-06,+470.23438E-03,+114.14063E-03
+265.00E-06,+470.62501E-03,+115.70313E-03
+266.00E-06,+470.62501E-03,+117.26563E-03
+267.00E-06,+470.23438E-03,+118.82813E-03
+268.00E-06,+470.62501E-03,+120.78125E-03
+269.00E-06,+470.62501E-03,+121.95313E-03
+270.00E-06,+470.62501E-03,+123.12500E-03
+271.00E-06,+470.62501E-03,+125.07813E-03
+272.00E-06,+471.01563E-03,+126.25000E-03
+273.00E-06,+471.01563E-03,+128.20313E-03
+274.00E-06,+471.01563E-03,+129.37500E-03
+275.00E-06,+470.62501E-03,+130.54688E-03
+276.00E-06,+470.62501E-03,+132.10938E-03
+277.00E-06,+471.01563E-03,+134.06250E-03
+278.00E-06,+470.62501E-03,+134.84375E-03
+279.00E-06,+471.01563E-03,+136.79688E-03
+280.00E-06,+471.01563E-03,+137.96875E-03
+281.00E-06,+470.62501E-03,+139.92188E-03
+282.00E-06,+470.62501E-03,+141.09375E-03
+283.00E-06,+470.62501E-03,+143.04688E-03
+284.00E-06,+471.01563E-03,+144.21875E-03
+285.00E-06,+471.01563E-03,+145.78125E-03
+286.00E-06,+471.01563E-03,+147.34375E-03
+287.00E-06,+470.62501E-03,+148.90625E-03
+288.00E-06,+471.01563E-03,+150.07813E-03
+289.00E-06,+471.01563E-03,+152.03125E-03
+290.00E-06,+471.01563E-03,+153.20313E-03
+291.00E-06,+471.01563E-03,+154.76563E-03
+292.00E-06,+471.01563E-03,+156.32813E-03
+293.00E-06,+471.01563E-03,+157.50000E-03
+294.00E-06,+471.01563E-03,+159.06250E-03
+295.00E-06,+471.40626E-03,+160.23438E-03
+296.00E-06,+471.40626E-03,+161.79688E-03
+297.00E-06,+471.01563E-03,+163.35938E-03
+298.00E-06,+471.01563E-03,+164.53125E-03
+299.00E-06,+471.40626E-03,+166.09375E-03
+300.00E-06,+471.01563E-03,+167.65625E-03
+301.00E-06,+471.01563E-03,+168.82813E-03
+302.00E-06,+471.01563E-03,+170.00000E-03
+303.00E-06,+471.01563E-03,+170.78125E-03
+304.00E-06,+471.40626E-03,+172.73438E-03
+305.00E-06,+471.01563E-03,+174.29688E-03
+306.00E-06,+471.40626E-03,+175.46875E-03
+307.00E-06,+471.40626E-03,+177.03125E-03
+308.00E-06,+471.01563E-03,+178.59375E-03
+309.00E-06,+471.40626E-03,+180.15625E-03
+310.00E-06,+471.40626E-03,+181.71875E-03
+311.00E-06,+471.01563E-03,+182.89063E-03
+312.00E-06,+471.40626E-03,+184.45313E-03
+313.00E-06,+471.40626E-03,+185.62500E-03
+314.00E-06,+471.40626E-03,+187.18750E-03
+315.00E-06,+471.40626E-03,+187.96875E-03
+316.00E-06,+471.79688E-03,+189.14063E-03
+317.00E-06,+471.40626E-03,+190.70313E-03
