Freq,magn,phase
1.00000000000000e+002,-2.07307395035952e+001,7.76250562617357e+000
1.02329299228075e+002,-2.07262210070465e+001,7.94025714909501e+000
1.04712854805090e+002,-2.07214946355065e+001,8.12193436439114e+000
1.07151930523761e+002,-2.07165510696162e+001,8.30761386253669e+000
1.09647819614318e+002,-2.07113805951217e+001,8.49737301535412e+000
1.12201845430196e+002,-2.07059730882877e+001,8.69128992943432e+000
1.14815362149688e+002,-2.07003180009763e+001,8.88944339463204e+000
1.17489755493953e+002,-2.06944043454057e+001,9.09191282733351e+000
1.20226443461741e+002,-2.06882206786027e+001,9.29877820818356e+000
1.23026877081238e+002,-2.06817550865708e+001,9.51012001394901e+000
1.25892541179417e+002,-2.06749951681937e+001,9.72601914318361e+000
1.28824955169313e+002,-2.06679280189030e+001,9.94655683535179e+000
1.31825673855641e+002,-2.06605402141383e+001,1.01718145830578e+001
1.34896288259165e+002,-2.06528177926345e+001,1.04018740370203e+001
1.38038426460288e+002,-2.06447462395745e+001,1.06368169034243e+001
1.41253754462275e+002,-2.06363104696526e+001,1.08767248332785e+001
1.44543977074593e+002,-2.06274948100941e+001,1.11216793034002e+001
1.47910838816821e+002,-2.06182829836886e+001,1.13717614886495e+001
1.51356124843621e+002,-2.06086580918952e+001,1.16270521250340e+001
1.54881661891248e+002,-2.05986025980854e+001,1.18876313633071e+001
1.58489319246111e+002,-2.05880983109985e+001,1.21535786126899e+001
1.62181009735893e+002,-2.05771263684867e+001,1.24249723743528e+001
1.65958690743756e+002,-2.05656672216382e+001,1.27018900643063e+001
1.69824365246174e+002,-2.05537006193721e+001,1.29844078253656e+001
1.73780082874937e+002,-2.05412055936068e+001,1.32726003278725e+001
1.77827941003892e+002,-2.05281604451119e+001,1.35665405588849e+001
1.81970085860998e+002,-2.05145427301624e+001,1.38662995995700e+001
1.86208713666287e+002,-2.05003292481203e+001,1.41719463905755e+001
1.90546071796324e+002,-2.04854960300798e+001,1.44835474851936e+001
1.94984459975804e+002,-2.04700183287187e+001,1.48011667901762e+001
1.99526231496888e+002,-2.04538706095081e+001,1.51248652941196e+001
2.04173794466953e+002,-2.04370265434404e+001,1.54547007833928e+001
2.08929613085404e+002,-2.04194590014437e+001,1.57907275456563e+001
2.13796208950223e+002,-2.04011400506584e+001,1.61329960610906e+001
2.18776162394955e+002,-2.03820409527593e+001,1.64815526815442e+001
2.23872113856834e+002,-2.03621321645129e+001,1.68364392978979e+001
2.29086765276777e+002,-2.03413833407645e+001,1.71976929960487e+001
2.34422881531992e+002,-2.03197633400579e+001,1.75653457020250e+001
2.39883291901949e+002,-2.02972402330888e+001,1.79394238168638e+001
2.45470891568503e+002,-2.02737813142018e+001,1.83199478420085e+001
2.51188643150958e+002,-2.02493531161364e+001,1.87069319961217e+001
2.57039578276886e+002,-2.02239214282310e+001,1.91003838243499e+001
2.63026799189538e+002,-2.01974513182881e+001,1.95003038012273e+001
2.69153480392691e+002,-2.01699071583012e+001,1.99066849285627e+001
2.75422870333816e+002,-2.01412526542365e+001,2.03195123298148e+001
2.81838293126445e+002,-2.01114508800512e+001,2.07387628426246e+001
2.88403150312660e+002,-2.00804643161217e+001,2.11644046113450e+001
2.95120922666638e+002,-2.00482548922345e+001,2.15963966815706e+001
3.01995172040201e+002,-2.00147840352792e+001,2.20346885988426e+001
3.09029543251358e+002,-1.99800127217572e+001,2.24792200138614e+001
3.16227766016837e+002,-1.99439015351996e+001,2.29299202967002e+001
3.23593656929628e+002,-1.99064107285528e+001,2.33867081626595e+001
3.31131121482590e+002,-1.98675002915658e+001,2.38494913125356e+001
3.38844156139202e+002,-1.98271300231726e+001,2.43181660902035e+001
3.46736850452531e+002,-1.97852596088266e+001,2.47926171605103e+001
3.54813389233575e+002,-1.97418487027029e+001,2.52727172105629e+001
3.63078054770101e+002,-1.96968570146392e+001,2.57583266775464e+001
3.71535229097172e+002,-1.96502444016377e+001,2.62492935062430e+001
3.80189396320560e+002,-1.96019709637036e+001,2.67454529394121e+001
3.89045144994280e+002,-1.95519971437421e+001,2.72466273441655e+001
3.98107170553496e+002,-1.95002838311855e+001,2.77526260773872e+001
4.07380277804112e+002,-1.94467924689676e+001,2.82632453931435e+001
4.16869383470335e+002,-1.93914851634101e+001,2.87782683948698e+001
4.26579518801592e+002,-1.93343247965349e+001,2.92974650349266e+001
4.36515832240165e+002,-1.92752751402643e+001,2.98205921638756e+001
4.46683592150962e+002,-1.92143009719253e+001,3.03473936315456e+001
4.57088189614874e+002,-1.91513681904276e+001,3.08776004416282e+001
4.67735141287197e+002,-1.90864439324470e+001,3.14109309611839e+001
4.78630092322637e+002,-1.90194966879118e+001,3.19470911860236e+001
4.89778819368445e+002,-1.89504964140584e+001,3.24857750625036e+001
5.01187233627271e+002,-1.88794146473049e+001,3.30266648657872e+001
5.12861383991364e+002,-1.88062246121740e+001,3.35694316341435e+001
5.24807460249771e+002,-1.87309013264940e+001,3.41137356583295e+001
5.37031796370251e+002,-1.86534217021087e+001,3.46592270245757e+001
5.49540873857623e+002,-1.85737646403395e+001,3.52055462091655e+001
5.62341325190348e+002,-1.84919111214681e+001,3.57523247220641e+001
5.75439937337155e+002,-1.84078442875354e+001,3.62991857965348e+001
5.88843655355587e+002,-1.83215495177997e+001,3.68457451211809e+001
6.02559586074356e+002,-1.82330144962410e+001,3.73916116103785e+001
6.16595001861481e+002,-1.81422292705657e+001,3.79363882086276e+001
6.30957344480192e+002,-1.80491863022246e+001,3.84796727239603e+001
6.45654229034654e+002,-1.79538805070402e+001,3.90210586851980e+001
6.60693448007594e+002,-1.78563092861132e+001,3.95601362175671e+001
6.76082975391980e+002,-1.77564725467686e+001,4.00964929309628e+001
6.91830970918935e+002,-1.76543727133891e+001,4.06297148149905e+001
7.07945784384136e+002,-1.75500147280762e+001,4.11593871348315e+001
7.24435960074988e+002,-1.74434060411732e+001,4.16850953219660e+001
7.41310241300916e+002,-1.73345565917751e+001,4.22064258538390e+001
7.58577575029182e+002,-1.72234787784443e+001,4.27229671166930e+001
7.76247116628690e+002,-1.71101874204355e+001,4.32343102459715e+001
7.94328234724279e+002,-1.69946997098183e+001,4.37400499389775e+001
8.12830516164097e+002,-1.68770351549641e+001,4.42397852347734e+001
8.31763771102669e+002,-1.67572155159323e+001,4.47331202566955e+001
8.51138038202374e+002,-1.66352647323564e+001,4.52196649132726e+001
8.70963589956078e+002,-1.65112088444832e+001,4.56990355537968e+001
8.91250938133743e+002,-1.63850759080658e+001,4.61708555752921e+001
9.12010839355907e+002,-1.62568959038459e+001,4.66347559781348e+001
9.33254300796988e+002,-1.61267006423892e+001,4.70903758681175e+001
9.54992586021433e+002,-1.59945236650521e+001,4.75373629032754e+001
9.77237220955808e+002,-1.58604001418695e+001,4.79753736843375e+001
9.99999999999997e+002,-1.57243667671490e+001,4.84040740881830e+001
1.02329299228075e+003,-1.55864616535484e+001,4.88231395441981e+001
1.04712854805090e+003,-1.54467242253950e+001,4.92322552539104e+001
1.07151930523760e+003,-1.53051951119805e+001,4.96311163547370e+001
1.09647819614318e+003,-1.51619160415326e+001,5.00194280291109e+001
1.12201845430196e+003,-1.50169297365287e+001,5.03969055606349e+001
1.14815362149688e+003,-1.48702798109736e+001,5.07632743392600e+001
1.17489755493953e+003,-1.47220106702173e+001,5.11182698177986e+001
1.20226443461741e+003,-1.45721674138412e+001,5.14616374223411e+001
1.23026877081238e+003,-1.44207957420892e+001,5.17931324193685e+001
1.25892541179416e+003,-1.42679418662683e+001,5.21125197425320e+001
1.28824955169313e+003,-1.41136524234902e+001,5.24195737822108e+001
1.31825673855640e+003,-1.39579743960746e+001,5.27140781410507e+001
1.34896288259165e+003,-1.38009550358813e+001,5.29958253587547e+001
1.38038426460288e+003,-1.36426417937908e+001,5.32646166094138e+001
1.41253754462275e+003,-1.34830822545039e+001,5.35202613746671e+001
1.44543977074592e+003,-1.33223240767844e+001,5.37625770959389e+001
1.47910838816820e+003,-1.31604149392297e+001,5.39913888089435e+001
1.51356124843620e+003,-1.29974024916111e+001,5.42065287635645e+001
1.54881661891248e+003,-1.28333343117907e+001,5.44078360321115e+001
1.58489319246111e+003,-1.26682578681894e+001,5.45951561088420e+001
1.62181009735892e+003,-1.25022204877494e+001,5.47683405035081e+001
1.65958690743755e+003,-1.23352693293090e+001,5.49272463315428e+001
1.69824365246174e+003,-1.21674513622853e+001,5.50717359033635e+001
1.73780082874937e+003,-1.19988133505386e+001,5.52016763151131e+001
1.77827941003892e+003,-1.18294018412776e+001,5.53169390430155e+001
1.81970085860998e+003,-1.16592631588491e+001,5.54173995433659e+001
1.86208713666286e+003,-1.14884434032467e+001,5.55029368600358e+001
1.90546071796324e+003,-1.13169884531614e+001,5.55734332412222e+001
1.94984459975804e+003,-1.11449439733947e+001,5.56287737670399e+001
1.99526231496887e+003,-1.09723554264455e+001,5.56688459894200e+001
2.04173794466952e+003,-1.07992680880853e+001,5.56935395856578e+001
2.08929613085403e+003,-1.06257270667305e+001,5.57027460268386e+001
2.13796208950222e+003,-1.04517773264234e+001,5.56963582622646e+001
2.18776162394954e+003,-1.02774637132354e+001,5.56742704209082e+001
2.23872113856833e+003,-1.01028309849066e+001,5.56363775308366e+001
2.29086765276776e+003,-9.92792384354155e+000,5.55825752574709e+001
2.34422881531991e+003,-9.75278697118192e+000,5.55127596614798e+001
2.39883291901948e+003,-9.57746506808373e+000,5.54268269770495e+001
2.45470891568502e+003,-9.40200289352816e+000,5.53246734112277e+001
2.51188643150957e+003,-9.22644530900095e+000,5.52061949649963e+001
2.57039578276885e+003,-9.05083732357832e+000,5.50712872767008e+001
2.63026799189537e+003,-8.87522414136091e+000,5.49198454884458e+001
2.69153480392690e+003,-8.69965121080040e+000,5.47517641360453e+001
2.75422870333815e+003,-8.52416427576550e+000,5.45669370631165e+001
2.81838293126444e+003,-8.34880942819578e+000,5.43652573599018e+001
2.88403150312659e+003,-8.17363316219227e+000,5.41466173274116e+001
2.95120922666637e+003,-7.99868242939353e+000,5.39109084674869e+001
3.01995172040200e+003,-7.82400469548433e+000,5.36580214994020e+001
3.09029543251358e+003,-7.64964799768174e+000,5.33878464036386e+001
3.16227766016836e+003,-7.47566100303915e+000,5.31002724934872e+001
3.23593656929627e+003,-7.30209306740371e+000,5.27951885151545e+001
3.31131121482590e+003,-7.12899429485595e+000,5.24724827770749e+001
3.38844156139201e+003,-6.95641559745227e+000,5.21320433091486e+001
3.46736850452530e+003,-6.78440875508103e+000,5.17737580526503e+001
3.54813389233574e+003,-6.61302647523142e+000,5.13975150815694e+001
3.63078054770100e+003,-6.44232245246217e+000,5.10032028561547e+001
3.71535229097171e+003,-6.27235142734112e+000,5.05907105094489e+001
3.80189396320559e+003,-6.10316924461150e+000,5.01599281675984e+001
3.89045144994279e+003,-5.93483291032180e+000,4.97107473047137e+001
3.98107170553495e+003,-5.76740064763668e+000,4.92430611330466e+001
4.07380277804111e+003,-5.60093195102494e+000,4.87567650292110e+001
4.16869383470333e+003,-5.43548763849731e+000,4.82517569971441e+001
4.26579518801591e+003,-5.27112990154228e+000,4.77279381684364e+001
4.36515832240164e+003,-5.10792235238253e+000,4.71852133405874e+001
4.46683592150961e+003,-4.94593006814715e+000,4.66234915536498e+001
4.57088189614873e+003,-4.78521963152645e+000,4.60426867056037e+001
4.67735141287196e+003,-4.62585916744781e+000,4.54427182066626e+001
4.78630092322636e+003,-4.46791837528108e+000,4.48235116725433e+001
4.89778819368444e+003,-4.31146855605295e+000,4.41849996565343e+001
5.01187233627270e+003,-4.15658263412015e+000,4.35271224199683e+001
5.12861383991362e+003,-4.00333517272372e+000,4.28498287404426e+001
5.24807460249770e+003,-3.85180238281892e+000,4.21530767568349e+001
5.37031796370250e+003,-3.70206212455085e+000,4.14368348498270e+001
5.49540873857622e+003,-3.55419390072415e+000,4.07010825562784e+001
5.62341325190346e+003,-3.40827884159586e+000,3.99458115153810e+001
5.75439937337154e+003,-3.26439968030735e+000,3.91710264440769e+001
5.88843655355586e+003,-3.12264071826216e+000,3.83767461387321e+001
6.02559586074354e+003,-2.98308777975468e+000,3.75630044995358e+001
6.16595001861479e+003,-2.84582815516002e+000,3.67298515735298e+001
6.30957344480190e+003,-2.71095053200993e+000,3.58773546115847e+001
6.45654229034652e+003,-2.57854491330298e+000,3.50055991340112e+001
6.60693448007592e+003,-2.44870252243298e+000,3.41146899988607e+001
6.76082975391978e+003,-2.32151569416641e+000,3.32047524662994e+001
6.91830970918932e+003,-2.19707775116012e+000,3.22759332517862e+001
7.07945784384134e+003,-2.07548286558555e+000,3.13284015601132e+001
7.24435960074986e+003,-1.95682590551455e+000,3.03623500917284e+001
7.41310241300913e+003,-1.84120226582865e+000,2.93779960121374e+001
7.58577575029179e+003,-1.72870768353339e+000,2.83755818746098e+001
7.76247116628687e+003,-1.61943803749878e+000,2.73553764858976e+001
7.94328234724277e+003,-1.51348913279943e+000,2.63176757042382e+001
8.12830516164094e+003,-1.41095646999694e+000,2.52628031585714e+001
8.31763771102666e+003,-1.31193499989148e+000,2.41911108776656e+001
8.51138038202371e+003,-1.21651886446427e+000,2.31029798177590e+001
8.70963589956075e+003,-1.12480112493984e+000,2.19988202773691e+001
8.91250938133740e+003,-1.03687347811166e+000,2.08790721881473e+001
9.12010839355904e+003,-9.52825962293700e-001,1.97442052710588e+001
9.33254300796985e+003,-8.72746654481484e-001,1.85947190477666e+001
9.54992586021430e+003,-7.96721360523803e-001,1.74311426979007e+001
9.77237220955804e+003,-7.24833300315870e-001,1.62540347539121e+001
9.99999999999993e+003,-6.57162790222626e-001,1.50639826264296e+001
1.02329299228075e+004,-5.93786925121074e-001,1.38616019544753e+001
1.04712854805089e+004,-5.34779262607184e-001,1.26475357765193e+001
1.07151930523760e+004,-4.80209512042619e-001,1.14224535201647e+001
1.09647819614318e+004,-4.30143231213339e-001,1.01870498102221e+001
1.12201845430196e+004,-3.84641533431115e-001,8.94204309702599e+000
1.14815362149688e+004,-3.43760807926384e-001,7.68817410904856e+000
1.17489755493952e+004,-3.07552456357596e-001,6.42620413610328e+000
1.20226443461740e+004,-2.76062648186172e-001,5.15691315170924e+000
1.23026877081237e+004,-2.49332097550290e-001,3.88109778540890e+000
1.25892541179416e+004,-2.27395864100874e-001,2.59956915798834e+000
1.28824955169313e+004,-2.10283180052800e-001,1.31315059456778e+000
1.31825673855640e+004,-1.98017305447113e-001,2.26752323750027e-002
1.34896288259164e+004,-1.90615413325760e-001,-1.27101645836329e+000
1.38038426460288e+004,-1.88088506190570e-001,-2.56707922061848e+000
1.41253754462274e+004,-1.90441364762414e-001,-3.86466560298833e+000
1.44543977074592e+004,-1.97672529676983e-001,-5.16292857676118e+000
1.47910838816820e+004,-2.09774316363545e-001,-6.46102415562661e+000
1.51356124843620e+004,-2.26732862956365e-001,-7.75811399600201e+000
1.54881661891247e+004,-2.48528210695905e-001,-9.05336795625917e+000
1.58489319246110e+004,-2.75134415894287e-001,-1.03459665937967e+001
1.62181009735892e+004,-3.06519692178988e-001,-1.16351035798941e+001
1.65958690743755e+004,-3.42646581391027e-001,-1.29199880135784e+001
1.69824365246173e+004,-3.83472151211339e-001,-1.41998466172991e+001
1.73780082874936e+004,-4.28948217325792e-001,-1.54739257990036e+001
1.77827941003891e+004,-4.79021587713736e-001,-1.67414935671892e+001
1.81970085860997e+004,-5.33634326470883e-001,-1.80018412876322e+001
1.86208713666285e+004,-5.92724034444827e-001,-1.92542852727105e+001
1.90546071796323e+004,-6.56224143880624e-001,-2.04981681964958e+001
1.94984459975803e+004,-7.24064224236435e-001,-2.17328603310471e+001
1.99526231496887e+004,-7.96170296338548e-001,-2.29577606015449e+001
2.04173794466951e+004,-8.72465152095976e-001,-2.41722974600237e+001
2.08929613085402e+004,-9.52868677082451e-001,-2.53759295794619e+001
2.13796208950222e+004,-1.03729817341744e+000,-2.65681463718248e+001
2.18776162394954e+004,-1.12566868052821e+000,-2.77484683353330e+001
2.23872113856832e+004,-1.21789329155157e+000,-2.89164472376927e+001
2.29086765276776e+004,-1.31388346332668e+000,-3.00716661433038e+001
2.34422881531990e+004,-1.41354931813981e+000,-3.12137392935098e+001
2.39883291901947e+004,-1.51679993559678e+000,-3.23423118498078e+001
2.45470891568501e+004,-1.62354363322020e+000,-3.34570595105747e+001
2.51188643150956e+004,-1.73368823458855e+000,-3.45576880123064e+001
2.57039578276884e+004,-1.84714132404974e+000,-3.56439325266272e+001
2.63026799189536e+004,-1.96381048725076e+000,-3.67155569644103e+001
2.69153480392689e+004,-2.08360353692441e+000,-3.77723531982780e+001
2.75422870333814e+004,-2.20642872355874e+000,-3.88141402145499e+001
2.81838293126443e+004,-2.33219493074866e+000,-3.98407632053799e+001
2.88403150312658e+004,-2.46081185518571e+000,-4.08520926113997e+001
2.95120922666636e+004,-2.59219017138366e+000,-4.18480231246793e+001
3.01995172040199e+004,-2.72624168136157e+000,-4.28284726612560e+001
3.09029543251357e+004,-2.86287944961667e+000,-4.37933813118537e+001
3.16227766016835e+004,-3.00201792381069e+000,-4.47427102787793e+001
3.23593656929626e+004,-3.14357304167193e+000,-4.56764408063113e+001
3.31131121482588e+004,-3.28746232467876e+000,-4.65945731112208e+001
3.38844156139200e+004,-3.43360495913964e+000,-4.74971253194047e+001
3.46736850452529e+004,-3.58192186532223e+000,-4.83841324139471e+001
3.54813389233573e+004,-3.73233575531057e+000,-4.92556451992972e+001
3.63078054770098e+004,-3.88477118028462e+000,-5.01117292856379e+001
3.71535229097169e+004,-4.03915456792349e+000,-5.09524640969469e+001
3.80189396320558e+004,-4.19541425063284e+000,-5.17779419057071e+001
3.89045144994277e+004,-4.35348048528853e+000,-5.25882668967156e+001
3.98107170553494e+004,-4.51328546517553e+000,-5.33835542619766e+001
4.07380277804109e+004,-4.67476332478203e+000,-5.41639293282315e+001
4.16869383470332e+004,-4.83785013808714e+000,-5.49295267182887e+001
4.26579518801589e+004,-5.00248391095423e+000,-5.56804895469658e+001
4.36515832240162e+004,-5.16860456821483e+000,-5.64169686521375e+001
4.46683592150959e+004,-5.33615393599839e+000,-5.71391218611063e+001
4.57088189614871e+004,-5.50507571983230e+000,-5.78471132922593e+001
4.67735141287194e+004,-5.67531547900601e+000,-5.85411126917664e+001
4.78630092322634e+004,-5.84682059766060e+000,-5.92212948048824e+001
4.89778819368442e+004,-6.01954025303538e+000,-5.98878387812596e+001
5.01187233627268e+004,-6.19342538127093e+000,-6.05409276135413e+001
5.12861383991360e+004,-6.36842864113900e+000,-6.11807476083965e+001
5.24807460249768e+004,-6.54450437604006e+000,-6.18074878890648e+001
5.37031796370248e+004,-6.72160857458161e+000,-6.24213399284050e+001
5.49540873857620e+004,-6.89969883002323e+000,-6.30224971113923e+001
5.62341325190344e+004,-7.07873429884949e+000,-6.36111543259586e+001
5.75439937337152e+004,-7.25867565870682e+000,-6.41875075810510e+001
5.88843655355584e+004,-7.43948506591853e+000,-6.47517536507613e+001
6.02559586074352e+004,-7.62112611277023e+000,-6.53040897433772e+001
6.16595001861477e+004,-7.80356378473819e+000,-6.58447131942021e+001
6.30957344480187e+004,-7.98676441781438e+000,-6.63738211810088e+001
6.45654229034650e+004,-8.17069565606477e+000,-6.68916104609970e+001
6.60693448007590e+004,-8.35532640954135e+000,-6.73982771281565e+001
6.76082975391975e+004,-8.54062681265349e+000,-6.78940163899540e+001
6.91830970918930e+004,-8.72656818309080e+000,-6.83790223622971e+001
7.07945784384131e+004,-8.91312298137705e+000,-6.88534878817550e+001
7.24435960074983e+004,-9.10026477112325e+000,-6.93176043340547e+001
7.41310241300911e+004,-9.28796818003768e+000,-6.97715614979010e+001
7.58577575029177e+004,-9.47620886174109e+000,-7.02155474032102e+001
7.76247116628685e+004,-9.66496345842672e+000,-7.06497482028803e+001
7.94328234724274e+004,-9.85420956439704e+000,-7.10743480572611e+001
8.12830516164092e+004,-1.00439256905019e+001,-7.14895290305230e+001
8.31763771102663e+004,-1.02340912294968e+001,-7.18954709981617e+001
8.51138038202369e+004,-1.04246864223341e+001,-7.22923515649117e+001
8.70963589956073e+004,-1.06156923253950e+001,-7.26803459923792e+001
8.91250938133737e+004,-1.08070907786655e+001,-7.30596271357377e+001
9.12010839355901e+004,-1.09988643748562e+001,-7.34303653888679e+001
9.33254300796982e+004,-1.11909964294603e+001,-7.37927286373526e+001
9.54992586021427e+004,-1.13834709517455e+001,-7.41468822187727e+001
9.77237220955802e+004,-1.15762726166660e+001,-7.44929888897809e+001
9.99999999999991e+004,-1.17693867376858e+001,-7.48312087994588e+001
1.02329299228074e+005,-1.19627992404968e+001,-7.51616994684930e+001
1.04712854805089e+005,-1.21564966376162e+001,-7.54846157737331e+001
1.07151930523760e+005,-1.23504660038469e+001,-7.58001099377211e+001
1.09647819614317e+005,-1.25446949525799e+001,-7.61083315228067e+001
1.12201845430195e+005,-1.27391716129212e+001,-7.64094274294877e+001
1.14815362149687e+005,-1.29338846076214e+001,-7.67035418986364e+001
1.17489755493952e+005,-1.31288230317867e+001,-7.69908165172969e+001
1.20226443461740e+005,-1.33239764323512e+001,-7.72713902277568e+001
1.23026877081237e+005,-1.35193347882860e+001,-7.75453993396183e+001
1.25892541179416e+005,-1.37148884915250e+001,-7.78129775446096e+001
1.28824955169312e+005,-1.39106283285844e+001,-7.80742559339007e+001
1.31825673855639e+005,-1.41065454628526e+001,-7.83293630176975e+001
1.34896288259164e+005,-1.43026314175296e+001,-7.85784247469087e+001
1.38038426460287e+005,-1.44988780591929e+001,-7.88215645366955e+001
1.41253754462274e+005,-1.46952775819677e+001,-7.90589032917237e+001
1.44543977074591e+005,-1.48918224922805e+001,-7.92905594329564e+001
1.47910838816819e+005,-1.50885055941741e+001,-7.95166489258350e+001
1.51356124843619e+005,-1.52853199751628e+001,-7.97372853097101e+001
1.54881661891247e+005,-1.54822589926081e+001,-7.99525797283925e+001
1.58489319246110e+005,-1.56793162605929e+001,-8.01626409617105e+001
1.62181009735891e+005,-1.58764856372768e+001,-8.03675754579620e+001
1.65958690743754e+005,-1.60737612127105e+001,-8.05674873671688e+001
1.69824365246173e+005,-1.62711372970928e+001,-8.07624785750404e+001
1.73780082874936e+005,-1.64686084094506e+001,-8.09526487375704e+001
1.77827941003890e+005,-1.66661692667241e+001,-8.11380953161937e+001
1.81970085860996e+005,-1.68638147732408e+001,-8.13189136134383e+001
1.86208713666285e+005,-1.70615400105606e+001,-8.14951968090184e+001
1.90546071796323e+005,-1.72593402276764e+001,-8.16670359963166e+001
1.94984459975802e+005,-1.74572108315545e+001,-8.18345202192134e+001
1.99526231496886e+005,-1.76551473779997e+001,-8.19977365092273e+001
2.04173794466951e+005,-1.78531455628309e+001,-8.21567699229344e+001
2.08929613085402e+005,-1.80512012133529e+001,-8.23117035796418e+001
2.13796208950221e+005,-1.82493102801114e+001,-8.24626186992969e+001
2.18776162394953e+005,-1.84474688289187e+001,-8.26095946406165e+001
2.23872113856832e+005,-1.86456730331379e+001,-8.27527089394271e+001
2.29086765276775e+005,-1.88439191662139e+001,-8.28920373472109e+001
2.34422881531990e+005,-1.90422035944405e+001,-8.30276538698587e+001
2.39883291901946e+005,-1.92405227699543e+001,-8.31596308066318e+001
2.45470891568500e+005,-1.94388732239444e+001,-8.32880387893439e+001
2.51188643150955e+005,-1.96372515600698e+001,-8.34129468217720e+001
2.57039578276884e+005,-1.98356544480773e+001,-8.35344223193155e+001
2.63026799189535e+005,-2.00340786176099e+001,-8.36525311489219e+001
2.69153480392689e+005,-2.02325208522022e+001,-8.37673376693018e+001
2.75422870333814e+005,-2.04309779834542e+001,-8.38789047714614e+001
2.81838293126442e+005,-2.06294468853795e+001,-8.39872939195806e+001
2.88403150312657e+005,-2.08279244689232e+001,-8.40925651922706e+001
2.95120922666635e+005,-2.10264076766464e+001,-8.41947773242456e+001
3.01995172040198e+005,-2.12248934775738e+001,-8.42939877484476e+001
3.09029543251356e+005,-2.14233788622026e+001,-8.43902526386639e+001
3.16227766016834e+005,-2.16218608376734e+001,-8.44836269526796e+001
3.23593656929625e+005,-2.18203364231006e+001,-8.45741644760110e+001
3.31131121482587e+005,-2.20188026450660e+001,-8.46619178662635e+001
3.38844156139199e+005,-2.22172565332755e+001,-8.47469386981639e+001
3.46736850452528e+005,-2.24156951163843e+001,-8.48292775093124e+001
3.54813389233571e+005,-2.26141154179934e+001,-8.49089838467054e+001
3.63078054770097e+005,-2.28125144528241e+001,-8.49861063140761e+001
3.71535229097168e+005,-2.30108892230766e+001,-8.50606926201015e+001
3.80189396320557e+005,-2.32092367149820e+001,-8.51327896275245e+001
3.89045144994276e+005,-2.34075538955558e+001,-8.52024434032345e+001
3.98107170553493e+005,-2.36058377095661e+001,-8.52696992693524e+001
4.07380277804108e+005,-2.38040850767262e+001,-8.53346018553592e+001
4.16869383470331e+005,-2.40022928891278e+001,-8.53971951513061e+001
4.26579518801588e+005,-2.42004580089297e+001,-8.54575225621380e+001
4.36515832240161e+005,-2.43985772663186e+001,-8.55156269631573e+001
4.46683592150958e+005,-2.45966474577607e+001,-8.55715507566493e+001
4.57088189614870e+005,-2.47946653445656e+001,-8.56253359296795e+001
4.67735141287193e+005,-2.49926276517832e+001,-8.56770241130695e+001
4.78630092322633e+005,-2.51905310674571e+001,-8.57266566415422e+001
4.89778819368440e+005,-2.53883722422613e+001,-8.57742746150197e+001
5.01187233627266e+005,-2.55861477895449e+001,-8.58199189610418e+001
5.12861383991359e+005,-2.57838542858150e+001,-8.58636304982590e+001
5.24807460249766e+005,-2.59814882716858e+001,-8.59054500009378e+001
5.37031796370246e+005,-2.61790462533264e+001,-8.59454182643965e+001
5.49540873857618e+005,-2.63765247044390e+001,-8.59835761712719e+001
5.62341325190342e+005,-2.65739200688008e+001,-8.60199647584929e+001
5.75439937337150e+005,-2.67712287634033e+001,-8.60546252848157e+001
5.88843655355582e+005,-2.69684471822251e+001,-8.60875992987472e+001
6.02559586074350e+005,-2.71655717006713e+001,-8.61189287066560e+001
6.16595001861474e+005,-2.73625986807163e+001,-8.61486558408438e+001
6.30957344480185e+005,-2.75595244767836e+001,-8.61768235273123e+001
6.45654229034647e+005,-2.77563454423956e+001,-8.62034751529339e+001
6.60693448007588e+005,-2.79530579376282e+001,-8.62286547316967e+001
6.76082975391973e+005,-2.81496583373970e+001,-8.62524069696559e+001
6.91830970918928e+005,-2.83461430406073e+001,-8.62747773281919e+001
7.07945784384129e+005,-2.85425084801884e+001,-8.62958120851320e+001
7.24435960074981e+005,-2.87387511340363e+001,-8.63155583932572e+001
7.41310241300908e+005,-2.89348675368799e+001,-8.63340643356742e+001
7.58577575029174e+005,-2.91308542930802e+001,-8.63513789774990e+001
7.76247116628682e+005,-2.93267080903694e+001,-8.63675524132556e+001
7.94328234724271e+005,-2.95224257145243e+001,-8.63826358093643e+001
8.12830516164089e+005,-2.97180040649643e+001,-8.63966814410566e+001
8.31763771102660e+005,-2.99134401712533e+001,-8.64097427230272e+001
8.51138038202365e+005,-3.01087312104746e+001,-8.64218742331095e+001
8.70963589956069e+005,-3.03038745254375e+001,-8.64331317282377e+001
8.91250938133734e+005,-3.04988676436607e+001,-8.64435721519506e+001
9.12010839355898e+005,-3.06937082970677e+001,-8.64532536326822e+001
9.33254300796979e+005,-3.08883944423114e+001,-8.64622354720897e+001
9.54992586021423e+005,-3.10829242816350e+001,-8.64705781226801e+001
9.77237220955797e+005,-3.12772962841576e+001,-8.64783431540224e+001
1.00000000000000e+006,-3.14715092074609e+001,-8.64855932068632e+001
