Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1000.0000000000011,0.010596539875199346,-0.090579260957760505,-6.9731673400619627
1072.2672220103243,0.010465384538173743,-0.091842897819436692,-7.4714625246223658
1149.7569953977368,0.0096042712533106703,-0.093029510141282579,-8.00191618410717
1232.8467394420672,0.010262488936901314,-0.093734281487748761,-8.5711311230966487
1321.9411484660302,0.0098250392388263309,-0.094720469031158647,-9.1878160382467016
1417.4741629268062,0.0089280837093817372,-0.095653445225061084,-9.8447265104556152
1519.9110829529347,0.0090452891476722405,-0.096793323629939615,-10.551867505899139
1629.750834620645,0.0086602827500062134,-0.097943697782860384,-11.316358467977238
1747.5284000076847,0.0080619890537221919,-0.098787395191247601,-12.136349859362355
1873.8174228603868,0.0078111570258688375,-0.10098454345802271,-13.018930541839431
2009.2330025650481,0.0073130802369932909,-0.10241476076735327,-13.96911090829758
2154.4346900318869,0.006426152244265711,-0.10472317248062267,-14.991503780299144
2310.1297000831628,0.0069849918049940465,-0.10740005967825561,-16.092055072365817
2477.0763559917114,0.0052021166115200045,-0.11019556739048453,-17.277410742059331
2656.0877829466895,0.0045693772445844858,-0.11415863130864713,-18.555851325167509
2848.0358684358048,0.0042261709218427293,-0.11889699740779269,-19.943578762293427
3053.8555088334188,0.0027523514208897836,-0.12612280071592291,-21.433635419630221
3274.5491628777318,0.0024221095301483384,-0.13433965988937302,-23.04770198680302
3511.1917342151346,0.0010979381618464513,-0.14460619277081535,-24.789298304444664
3764.9358067924713,0.00025034036242013009,-0.15859826033914351,-26.673938030800741
4037.0172585965579,0.00011944290052857761,-0.17647547555573689,-28.714690651824956
4328.7612810830615,-0.0029622675279441439,-0.19918932061141689,-30.922153168559333
4641.5888336127828,-0.0049769632463532772,-0.2278927113307663,-33.316244483279334
4977.0235643321139,-0.0044074446388119651,-0.26565756716335648,-35.919048002477098
5336.6992312063121,-0.0053904931679007069,-0.31459137322256236,-38.727122550792856
5722.3676593502259,-0.01149978144418197,-0.37615715188703186,-41.775452198815927
6135.907273413176,-0.0065388060527521979,-0.45557276224308185,-45.071205514473185
6579.3322465756819,-0.007834779467903237,-0.55582047962619685,-48.636181049534869
7054.8023107186527,-0.0077703823069836747,-0.68403098776096427,-52.479391338324952
7564.6332755462909,-0.009453161152163039,-0.84506091285254037,-56.614776409987869
8111.3083078968721,-0.013787216054219627,-1.0464179470536037,-61.036984775466067
8697.4900261778439,-0.014560191660459042,-1.2958928869320487,-65.732408557650217
9326.0334688322091,-0.011239631568559037,-1.601122037973278,-70.684404791124635
10000,-0.015282553409052445,-1.9709518594301001,-75.867182674789603
10722.672220103237,-0.012607258769092647,-2.4115414780805771,-81.213712195665693
11497.569953977369,-0.01217146475286127,-2.9295663456836336,-86.675582893417172
12328.467394420672,-0.010831328884190717,-3.5257378271694559,-92.179191887031223
13219.411484660293,-0.010993727437762807,-4.2016916612107362,-97.652761427758833
14174.741629268063,-0.010630230220017654,-4.9530676940388236,-103.01595275338153
15199.110829529347,-0.0098711331279047222,-5.779626322190353,-108.21253662810821
16297.508346206445,-0.01119238914247675,-6.6687265579153152,-113.19768704120409
17475.284000076848,-0.0098486064821799359,-7.6185390754883713,-117.91854574534061
18738.174228603857,-0.0088708328462894538,-8.615559803075854,-122.36288486952955
20092.330025650492,-0.018778548663202287,-9.6563742474412635,-126.54046668184802
21544.346900318847,-0.0099566761513222597,-10.733783601796604,-130.41690944392462
23101.297000831615,-0.006060695624747604,-11.836047275851742,-134.01274728390965
24770.763559917126,-0.0054889993625559814,-12.961202894929309,-137.32100059024086
26560.877829466866,-0.011000658762027328,-14.104304189207586,-140.41319607869679
28480.358684358034,-0.004696526532686764,-15.268959262262189,-143.26371222169686
30538.555088334186,-0.014934440064221987,-16.441172362215557,-145.86293155490756
32745.491628777301,0.00073528219610073729,-17.618183734713291,-148.27290509075206
35111.917342151326,0.0024452594252806006,-18.812118852344952,-150.54754541674271
37649.358067924717,-0.010299559629601536,-20.002244832358784,-152.61359234348865
40370.172585965556,-0.0033075415485939912,-21.215076252200159,-154.48870350930252
43287.612810830593,0.0084503025772726253,-22.424190322010613,-156.19496413534696
46415.88833612782,0.011048837117390005,-23.630182438049374,-157.96465043387644
49770.235643321117,0.013879945789219587,-24.837176639900662,-159.51146948589181
53366.992312063128,0.0040832289954286297,-26.057346262308585,-160.97065031203891
57223.676593502198,0.020638566606352056,-27.294640781136277,-162.21602534360531
61359.072734131725,0.024881215261441852,-28.528825872470236,-163.54944128350695
65793.322465756821,0.028975886641715874,-29.770379599584391,-164.78290985262979
70548.023107186455,0.029489927001562721,-30.985826890562002,-165.7710596417657
75646.332755462936,0.029874441580040177,-32.242700829454122,-167.19738107275995
81113.083078968717,0.03722325794696224,-33.493815043701488,-168.07327408016886
86974.900261778384,0.04027500555080301,-34.715701097526413,-169.00875181150315
93260.334688322037,0.046418544301097153,-35.981993761526311,-170.15995953859664
100000,0.044237854699881,-37.286097548227282,-170.94939113698643
107226.72220103237,0.042859423032842077,-38.538531415555298,-171.44911243838879
114975.69953977359,0.053549434386445931,-39.812086655889402,-173.06727041207014
123284.67394420668,0.056364939884378698,-41.041006067140167,-174.12352093511478
132194.11484660293,0.054948009434242322,-42.343617139654242,-175.65741052742914
141747.41629268051,0.05810500381599569,-43.69574146735733,-176.40998824448087
151991.10829529344,0.060839022859571774,-45.084841209880928,-177.8377271708909
162975.08346206445,0.055739831818096899,-46.30816078746173,-177.83789810100708
174752.84000076848,0.0541352704434412,-47.640327109961547,177.24911628443047
187381.74228603844,0.051316255934447955,-48.651778585086092,175.64288988315761
200923.30025650468,0.039579710588972292,-50.271450538127802,174.11476255287613
215443.46900318845,0.047036926285276899,-51.150048044644798,170.75137028842209
231012.97000831598,0.04548320345499144,-51.960010262822038,166.25702212005524
247707.63559917119,0.039228889065572425,-53.12808274745219,163.27448215038885
265608.77829466865,0.03478106942003957,-53.477687744472945,152.09809315312179
284803.5868435803,0.028092048571398739,-55.157764961531768,153.11282939653992
305385.55088334164,0.020465981060714469,-55.529543170851454,145.41502210087725
327454.91628777276,0.014900742809650914,-55.086704901369536,141.85758119901175
351119.17342151323,0.0063460528686240178,-54.771021555267943,133.02314105318248
376493.58067924681,0.00038216611469654607,-54.208709884763124,127.73029441852862
403701.72585965565,-0.007028784415713799,-54.020824503886473,123.7080202860583
432876.12810830591,-0.026683389548268922,-53.188180542583751,119.7558602164722
464158.88336127781,-0.025529564000376245,-52.490948512801353,115.09383652749453
497702.35643321119,-0.030453990327479686,-51.864506500276669,115.29010287876937
533669.92312063091,-0.040201237905392942,-50.898986125067296,111.56775050382964
572236.76593502192,-0.047763558585205319,-50.234981569243516,108.01536932824681
613590.72734131722,-0.055811118370802756,-49.387146945085917,107.26230221435824
657933.22465756827,-0.062039295651606305,-48.634436739067823,106.61399213940069
705480.23107186437,-0.071915394703535043,-47.942083660813807,104.33263745415968
756463.32755462872,-0.082064961863186903,-47.203531401807844,103.67021606261926
811130.83078968723,-0.098315735435108131,-46.494325658171064,103.17993180298953
869749.00261778326,-0.095678891854266687,-46.190088129087428,99.169492075574794
932603.34688322025,-0.10945505093792059,-45.03806354568048,99.099876736453723
1000000,-0.12039356978987628,-44.304734181953485,99.958543091229103
